date,value
1999-01-31,197560
1999-01-31,156946
1999-01-31,179236
1999-01-31,151351
1999-01-31,205659
1999-02-28,104088
1999-02-28,163246
1999-02-28,90854
1999-02-28,64103
1999-02-28,70700
1999-02-28,136274
1999-02-28,198649
1999-02-28,197524
1999-02-28,156733
1999-02-28,179082
1999-02-28,151183
1999-02-28,205603
1999-03-31,105744
1999-03-31,165499
1999-03-31,91010
1999-03-31,64508
1999-03-31,71495
1999-03-31,135853
1999-03-31,199644
1999-03-31,198835
1999-03-31,157508
1999-03-31,180234
1999-03-31,152106
1999-03-31,208127
1999-04-30,105553
1999-04-30,166997
1999-04-30,91308
1999-04-30,65257
1999-04-30,72815
1999-04-30,136394
1999-04-30,200388
1999-04-30,199580
1999-04-30,157927
1999-04-30,180744
1999-04-30,152687
1999-04-30,209237
1999-05-31,105348
1999-05-31,167237
1999-05-31,91839
1999-05-31,66067
1999-05-31,74502
1999-05-31,136808
1999-05-31,200665
1999-05-31,200036
1999-05-31,158266
1999-05-31,181140
1999-05-31,153115
1999-05-31,211114
1999-06-30,105889
1999-06-30,166501
1999-06-30,92809
1999-06-30,66447
1999-06-30,76031
1999-06-30,137111
1999-06-30,200933
1999-06-30,200498
1999-06-30,158530
1999-06-30,181568
1999-06-30,153456
1999-06-30,212280
1999-07-31,107804
1999-07-31,166167
1999-07-31,93607
1999-07-31,66576
1999-07-31,77698
1999-07-31,137533
1999-07-31,201234
1999-07-31,200955
1999-07-31,158810
1999-07-31,182250
1999-07-31,153891
1999-07-31,213265
1999-08-31,109694
1999-08-31,167213
1999-08-31,93566
1999-08-31,66443
1999-08-31,79106
1999-08-31,137763
1999-08-31,201726
1999-08-31,201465
1999-08-31,159086
1999-08-31,183008
1999-08-31,154343
1999-08-31,213617
1999-09-30,111580
1999-09-30,167980
1999-09-30,93263
1999-09-30,66277
1999-09-30,80549
1999-09-30,138196
1999-09-30,201910
1999-09-30,201652
1999-09-30,159330
1999-09-30,183515
1999-09-30,154733
1999-09-30,213547
1999-10-31,113167
1999-10-31,169276
1999-10-31,93338
1999-10-31,65467
1999-10-31,81693
1999-10-31,138371
1999-10-31,202055
1999-10-31,201787
1999-10-31,159569
1999-10-31,183788
1999-10-31,155060
1999-10-31,214087
1999-11-30,113441
1999-11-30,170350
1999-11-30,93834
1999-11-30,64366
1999-11-30,83060
1999-11-30,138540
1999-11-30,202327
1999-11-30,202181
1999-11-30,160090
1999-11-30,184223
1999-11-30,155617
1999-11-30,214422
1999-12-31,112689
1999-12-31,172253
1999-12-31,94390
1999-12-31,63209
1999-12-31,83685
1999-12-31,138734
1999-12-31,202687
1999-12-31,202664
1999-12-31,160670
1999-12-31,184846
1999-12-31,156246
1999-12-31,215659
2000-01-31,110578
2000-01-31,173918
2000-01-31,81818.93514
2000-01-31,63311
2000-01-31,84387
2000-01-31,139433
2000-01-31,206441.9353
2000-01-31,209473.6247
2000-01-31,162530.7572
2000-01-31,189331.3498
2000-01-31,160005.5756
2000-01-31,193408.2292
2000-02-29,109229
2000-02-29,175208
2000-02-29,81886.71047
2000-02-29,63760
2000-02-29,84658
2000-02-29,140192
2000-02-29,206373.9169
2000-02-29,209725.1504
2000-02-29,162737.2576
2000-02-29,189518.379
2000-02-29,160157.9319
2000-02-29,193585.1326
2000-03-31,108534
2000-03-31,175085
2000-03-31,82688.94739
2000-03-31,64457
2000-03-31,85297
2000-03-31,140845
2000-03-31,206434.9265
2000-03-31,209878.3235
2000-03-31,162925.7393
2000-03-31,189595.643
2000-03-31,160297.9528
2000-03-31,193281.4181
2000-04-30,109868
2000-04-30,175639
2000-04-30,83511.03541
2000-04-30,64480
2000-04-30,85881
2000-04-30,141245
2000-04-30,206580.5468
2000-04-30,210244.0333
2000-04-30,163109.4764
2000-04-30,189793.83
2000-04-30,160526.312
2000-04-30,193553.1594
2000-05-31,110859
2000-05-31,177372
2000-05-31,84300.8633
2000-05-31,64437
2000-05-31,86355
2000-05-31,141771
2000-05-31,206890.8511
2000-05-31,210201.9702
2000-05-31,163150.9153
2000-05-31,189927.6837
2000-05-31,160598.0735
2000-05-31,193444.8295
2000-06-30,111842
2000-06-30,179856
2000-06-30,84350.08569
2000-06-30,64508
2000-06-30,86926
2000-06-30,142199
2000-06-30,207463.9665
2000-06-30,210219.5046
2000-06-30,163316.2856
2000-06-30,190337.1555
2000-06-30,160794.9948
2000-06-30,193937.4993
2000-07-31,111671
2000-07-31,179558
2000-07-31,84754.32894
2000-07-31,64906
2000-07-31,87252
2000-07-31,142569
2000-07-31,208499.9892
2000-07-31,210476.7174
2000-07-31,163933.7908
2000-07-31,191008.7245
2000-07-31,161306.4357
2000-07-31,194717.8515
2000-08-31,111716
2000-08-31,178153
2000-08-31,85417.95009
2000-08-31,65327
2000-08-31,87684
2000-08-31,142693
2000-08-31,209903.065
2000-08-31,211494.8707
2000-08-31,165015.0124
2000-08-31,192127.9078
2000-08-31,162289.3167
2000-08-31,196302.4496
2000-09-30,111375
2000-09-30,176626
2000-09-30,86134.49201
2000-09-30,65263
2000-09-30,87764
2000-09-30,142901
2000-09-30,211177.4602
2000-09-30,212557.9066
2000-09-30,166025.6224
2000-09-30,193089.4228
2000-09-30,163216.5737
2000-09-30,197302.5566
2000-10-31,112007
2000-10-31,177474
2000-10-31,86672.92851
2000-10-31,65713
